node_id	language	accept_tool	seed_license	third_party	provenance
cpp-all-your-base	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-allergies	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-bank-account	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-binary-search-tree	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-circular-buffer	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-clock	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-complex-numbers	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-crypto-square	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-diamond	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-dnd-character	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-gigasecond	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-grade-school	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-kindergarten-garden	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-knapsack	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-linked-list	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-meetup	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-parallel-letter-frequency	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-perfect-numbers	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-phone-number	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-queen-attack	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-robot-name	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-space-age	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-spiral-matrix	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-sublist	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-yacht	cpp	cmake	none	Catch2/BSL-1.0	exercism
cpp-zebra-puzzle	cpp	cmake	none	Catch2/BSL-1.0	exercism
go-01-compact-path	go	-	none	-	hand-authored
go-02-longest-common-dir	go	-	none	-	hand-authored
go-03-strip-prefix-dir	go	-	none	-	hand-authored
go-04-encode-decode-roundtrip	go	-	none	-	hand-authored
go-05-split-join-ext-roundtrip	go	-	none	-	hand-authored
go-06-visible-count	go	-	none	-	hand-authored
go-alphametics	go	go	none	-	exercism
go-beer-song	go	go	none	-	exercism
go-book-store	go	go	none	-	exercism
go-bottle-song	go	go	none	-	exercism
go-bowling	go	go	none	-	exercism
go-connect	go	go	none	-	exercism
go-counter	go	go	none	-	exercism
go-crypto-square	go	go	none	-	exercism
go-dnd-character	go	go	none	-	exercism
go-dominoes	go	go	none	-	exercism
go-error-handling	go	go	none	-	exercism
go-food-chain	go	go	none	-	exercism
go-forth	go	go	none	-	exercism
go-hexadecimal	go	go	none	-	exercism
go-kindergarten-garden	go	go	none	-	exercism
go-ledger	go	go	none	-	exercism
go-markdown	go	go	none	-	exercism
go-matrix	go	go	none	-	exercism
go-octal	go	go	none	-	exercism
go-paasio	go	go	none	-	exercism
go-palindrome-products	go	go	none	-	exercism
go-pig-latin	go	go	none	-	exercism
go-poker	go	go	none	-	exercism
go-pov	go	go	none	-	exercism
go-protein-translation	go	go	none	-	exercism
go-react	go	go	none	-	exercism
go-robot-simulator	go	go	none	-	exercism
go-say	go	go	none	-	exercism
go-scale-generator	go	go	none	-	exercism
go-simple-linked-list	go	go	none	-	exercism
go-sublist	go	go	none	-	exercism
go-transpose	go	go	none	-	exercism
go-tree-building	go	go	none	-	exercism
go-trinary	go	go	none	-	exercism
go-two-bucket	go	go	none	-	exercism
go-variable-length-quantity	go	go	none	-	exercism
go-word-search	go	go	none	-	exercism
go-wordy	go	go	none	-	exercism
go-zebra-puzzle	go	go	none	-	exercism
